Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Thailand,Both,15.6,15.62376
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Thailand,Both,67.1,67.08724
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Tajikistan,Male,13.1,13.07407
Healthy life expectancy (HALE) at birth (years),2010,Europe,Tajikistan,Male,59.7,59.66931
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Tajikistan,Female,14.1,14.07514
Healthy life expectancy (HALE) at birth (years),2010,Europe,Tajikistan,Female,62.2,62.18836
Healthy life expectancy (HALE) at birth (years),2010,Europe,Tajikistan,Both,60.9,60.85826
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Tajikistan,Both,12.4,12.41116
Healthy life expectancy (HALE) at birth (years),2010,Europe,Turkmenistan,Male,57.6,57.5582
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Turkmenistan,Male,12.3,12.30298
Healthy life expectancy (HALE) at birth (years),2010,Europe,Turkmenistan,Female,62.7,62.74371
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Turkmenistan,Female,14.7,14.67962
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Turkmenistan,Both,13.6,13.56327
Healthy life expectancy (HALE) at birth (years),2015,Europe,Turkmenistan,Both,61.7,61.72654
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Timor-Leste,Male,13.1,13.09544
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Timor-Leste,Male,59.4,59.42734
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Timor-Leste,Female,13.8,13.78342
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Timor-Leste,Female,61.3,61.2838
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,Timor-Leste,Female,13.8,13.83303
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Timor-Leste,Both,60.3,60.33616
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,Timor-Leste,Both,13.3,13.3318
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Tonga,Male,62.5,62.49479
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Tonga,Male,13.1,13.14812
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Tonga,Female,15.8,15.76748
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Tonga,Female,65.5,65.50594
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Tonga,Both,14.4,14.40872
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Tonga,Both,64.0,64.01026
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Trinidad and Tobago,Male,14.9,14.87534
Healthy life expectancy (HALE) at birth (years),2019,Americas,Trinidad and Tobago,Male,64.0,63.9816
Healthy life expectancy (HALE) at birth (years),2019,Americas,Trinidad and Tobago,Female,68.6,68.60966
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Trinidad and Tobago,Female,18.9,18.88093
Healthy life expectancy (HALE) at birth (years),2019,Americas,Trinidad and Tobago,Both,66.2,66.2278
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Trinidad and Tobago,Both,17.2,17.23903
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Tunisia,Male,66.1,66.08925
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Tunisia,Male,15.1,15.14713
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Tunisia,Female,16.8,16.78157
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Tunisia,Both,64.8,64.8018
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Tunisia,Both,16.0,15.99281
Healthy life expectancy (HALE) at birth (years),2000,Europe,Turkiye,Male,64.1,64.13479
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Turkiye,Male,15.8,15.78934
Healthy life expectancy (HALE) at birth (years),2000,Europe,Turkiye,Female,65.8,65.8303
Healthy life expectancy (HALE) at birth (years),2000,Europe,Turkiye,Both,65.0,64.9667
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Turkiye,Both,16.3,16.34397
Healthy life expectancy (HALE) at birth (years),2000,Africa,United Republic of Tanzania,Male,45.0,45.01416
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,United Republic of Tanzania,Male,10.7,10.66519
Healthy life expectancy (HALE) at birth (years),2000,Africa,United Republic of Tanzania,Female,45.8,45.83544
